COUNTY,TRUMP,TRUMP_PCT,BIDEN,BIDEN_PCT
Abbeville,8215,0.6610 ,4101,0.3300 
Aiken,51589,0.6060 ,32275,0.3790 
Allendale,835,0.2320 ,2718,0.7560 
Anderson,67565,0.7030 ,27169,0.2830 
Bamberg,2417,0.3730 ,4010,0.6190 
Barnwell,5492,0.5320 ,4720,0.4570 
Beaufort,53194,0.5440 ,43419,0.4440 
Calhoun,4305,0.5190 ,3905,0.4710 
Charleston,93297,0.4260 ,121485,0.5550 
Cherokee,18043,0.7140 ,6983,0.2760 
Chester,8660,0.5500 ,6941,0.4410 
Chesterfield,11297,0.5980 ,7431,0.3940 
Clarendon,8361,0.5000 ,8250,0.4930 
Colleton,10440,0.5410 ,8602,0.4460 
Darlington,16832,0.5190 ,15220,0.4700 
Dillon,6582,0.5020 ,6436,0.4910 
Dorchester,41913,0.5420 ,33824,0.4380 
Edgefield,8184,0.6150 ,4953,0.3720 
Fairfield,4625,0.3810 ,7382,0.6080 
Florence,32615,0.5060 ,31153,0.4830 
Georgetown,20487,0.5590 ,15822,0.4310 
Greenville,150021,0.5810 ,103030,0.3990 
Greenwood,19431,0.6070 ,12145,0.3790 
Hampton,3906,0.4200 ,5323,0.5720 
Horry,118821,0.6610 ,59180,0.3290 
Jasper,7078,0.4920 ,7185,0.4990 
Kershaw,20471,0.6090 ,12699,0.3780 
Lancaster,30312,0.6080 ,18937,0.3800 
Laurens,20004,0.6560 ,10159,0.3330 
Lee,3008,0.3570 ,5329,0.6320 
Lexington,92817,0.6420 ,49301,0.3410 
McCormick,2958,0.5190 ,2687,0.4720 
Marion,5711,0.3880 ,8872,0.6030 
Marlboro,5044,0.4410 ,6290,0.5500 
Newberry,11443,0.6140 ,6958,0.3730 
Oconee,29698,0.7300 ,10414,0.2560 
Orangeburg,13603,0.3300 ,27295,0.6620 
Pickens,42907,0.7460 ,13645,0.2370 
Richland,58313,0.3010 ,132570,0.6840 
Saluda,6210,0.6700 ,2963,0.3190 
Spartanburg,93560,0.6290 ,52926,0.3560 
Sumter,21000,0.4290 ,27379,0.5600 
Union,8183,0.6170 ,4935,0.3720 
Williamsburg,5532,0.3460 ,10289,0.6440 
York,82727,0.5740 ,59008,0.4100 
Berkeley,57397,0.5490 ,45223,0.4330 
